Date,Close
23/06/2015,222.177994
24/06/2015,227.444
25/06/2015,229.444
26/06/2015,228.556
29/06/2015,226
30/06/2015,230.533005
01/07/2015,233.132996
02/07/2015,234.843994
03/07/2015,234.444
06/07/2015,232.378006
07/07/2015,228.688995
08/07/2015,224.156006
09/07/2015,223.378006
10/07/2015,224.022003
13/07/2015,234.889008
14/07/2015,232.710999
15/07/2015,230.822006
16/07/2015,232.466995
17/07/2015,235.022003
20/07/2015,238.421997
21/07/2015,235.244003
22/07/2015,232.533005
23/07/2015,233.033005
24/07/2015,226.966995
27/07/2015,219.800003
28/07/2015,221.533005
29/07/2015,226.067001
30/07/2015,224.567001
31/07/2015,231.632996
03/08/2015,232.966995
04/08/2015,249.367004
05/08/2015,260.766998
06/08/2015,247.167007
07/08/2015,232.5
10/08/2015,228.266998
11/08/2015,231.932999
12/08/2015,225.966995
13/08/2015,224.899994
14/08/2015,228.832993
17/08/2015,227.600006
18/08/2015,227.533005
19/08/2015,225.199997
20/08/2015,218.466995
21/08/2015,214.100006
24/08/2015,197.067001
25/08/2015,197.966995
26/08/2015,193.399994
27/08/2015,209.932999
28/08/2015,210.766998
31/08/2015,202.332993
01/09/2015,193.399994
02/09/2015,195.766998
03/09/2015,201.632996
04/09/2015,195.667007
07/09/2015,184.567001
08/09/2015,187.533005
09/09/2015,190.100006
10/09/2015,184.132996
11/09/2015,185.899994
14/09/2015,186.432999
15/09/2015,188.100006
16/09/2015,184.167007
18/09/2015,189.367004
21/09/2015,174.832993
22/09/2015,161.300003
23/09/2015,164.266998
24/09/2015,167.300003
28/09/2015,159.067001
29/09/2015,155.632996
30/09/2015,153.567001
01/10/2015,150.667007
05/10/2015,158.733002
06/10/2015,155.600006
07/10/2015,159.632996
08/10/2015,158.867004
09/10/2015,160.667007
12/10/2015,169.300003
13/10/2015,167.966995
14/10/2015,163.266998
15/10/2015,167.932999
16/10/2015,167.932999
19/10/2015,165.867004
20/10/2015,170.932999
21/10/2015,167.932999
23/10/2015,161.033005
26/10/2015,163.367004
27/10/2015,162.600006
28/10/2015,161.600006
29/10/2015,167.466995
30/10/2015,163.966995
02/11/2015,163.367004
03/11/2015,163.832993
04/11/2015,162.033005
05/11/2015,161.600006
06/11/2015,177.466995
09/11/2015,189.466995
10/11/2015,176.899994
13/11/2015,182.199997
16/11/2015,182.766998
17/11/2015,185.932999
18/11/2015,188.067001
19/11/2015,190.899994
20/11/2015,189.332993
23/11/2015,190.266998
24/11/2015,195.300003
26/11/2015,197.567001
27/11/2015,194.966995
30/11/2015,192.867004
